Date,BTC,CAD,HKD,SP500,TWD,EUR,GBP,CNY
2010-07-18,2.067932620551424e-06,0.21559097978227082,0.2534791252485178,0.011710744608178003,0.6946564885496178,0.5751111111111111,0.618870145154963,0.6481026001405477
2010-07-19,1.550949465413568e-06,0.21559097978227082,0.2534791252485178,0.011710744608178003,0.6946564885496178,0.5751111111111111,0.618870145154963,0.6481026001405477
2010-07-20,1.0339663102757123e-06,0.20956454121306378,0.24155069582505462,0.017712501219869226,0.6984732824427473,0.5622222222222222,0.6253432718713223,0.6481904427266336
2010-07-21,1.550949465413568e-06,0.18934681181959578,0.24453280318091686,0.010930028300966121,0.6946564885496178,0.5428888888888888,0.6147508826990977,0.6471363316936047
2010-07-22,0.0,0.17982115085536576,0.24453280318091686,0.022689567678344957,0.6870229007633588,0.5617777777777775,0.6308356218124755,0.6494202389318335
2010-07-23,5.169831551378562e-07,0.1804043545878693,0.17296222664016625,0.027081096906411695,0.6851145038167941,0.5553333333333335,0.6586896822283252,0.6501229796205203
2010-07-24,0.0,0.16796267496111938,0.16600397614314488,0.03308285351810292,0.6793893129770989,0.5795555555555554,0.6714397803060024,0.6488053408292345
2010-07-25,0.0,0.16796267496111938,0.16600397614314488,0.03308285351810292,0.6793893129770989,0.5795555555555554,0.6714397803060024,0.6488053408292345
2010-07-26,5.169831551378562e-07,0.16796267496111938,0.16600397614314488,0.03308285351810292,0.6793893129770989,0.5795555555555554,0.6714397803060024,0.6488053408292345
2010-07-27,5.169831551378562e-07,0.17671073094867817,0.15705765407555816,0.03249731628769392,0.66412213740458,0.5795555555555554,0.6808552373479801,0.6481904427266336
2010-07-28,5.169831551378562e-07,0.17651632970451003,0.16302186878728264,0.02874011905923679,0.6679389312977095,0.5828888888888888,0.6951745782659868,0.6481026001405477
2010-07-29,1.0339663102757123e-06,0.1788491446345255,0.16202783300198575,0.0264955596760027,0.6564885496183201,0.5975555555555556,0.6912514711651627,0.6463457484188329
2010-07-30,5.169831551378562e-07,0.1642690513219287,0.17793240556660805,0.026544354445203422,0.6583969465648849,0.5986666666666665,0.7153785798352295,0.64414968376669
2010-07-31,1.0339663102757123e-06,0.15143856920684273,0.1441351888667981,0.03840148336098381,0.6221374045801529,0.6219999999999999,0.7512750098077676,0.644588896697118
2010-08-01,5.169831551378562e-07,0.15143856920684273,0.1441351888667981,0.03840148336098381,0.6221374045801529,0.6219999999999999,0.7512750098077676,0.644588896697118
2010-08-02,5.169831551378562e-07,0.15143856920684273,0.1441351888667981,0.03840148336098381,0.6221374045801529,0.6219999999999999,0.7512750098077676,0.644588896697118
2010-08-03,5.169831551378562e-07,0.14988335925349916,0.11133200795229925,0.035766565824143615,0.6202290076335872,0.6364444444444444,0.7599058454295808,0.6435347856640901
2010-08-04,5.169831551378562e-07,0.14307931570762045,0.14214711729623275,0.03903581536059342,0.6278625954198471,0.6184444444444446,0.7493134562573562,0.6428320449754041
2010-08-05,5.169831551378562e-07,0.13724727838258177,0.14314115308151543,0.03835268859178298,0.6221374045801529,0.6182222222222222,0.7440172616712442,0.6415144061841183
2010-08-06,5.169831551378562e-07,0.16018662519440108,0.13518886679921138,0.036303308285351776,0.6106870229007626,0.6459999999999999,0.7673597489211459,0.6393183415319745
2010-08-07,5.169831551378562e-07,0.15902021772939334,0.1192842942346033,0.03932858397579775,0.601145038167938,0.6368888888888891,0.7606904668497454,0.6384399156711176
2010-08-08,5.169831551378562e-07,0.15902021772939334,0.1192842942346033,0.03932858397579775,0.601145038167938,0.6368888888888891,0.7606904668497454,0.6384399156711176
2010-08-09,1.0339663102757123e-06,0.15902021772939334,0.1192842942346033,0.03932858397579775,0.601145038167938,0.6368888888888891,0.7606904668497454,0.6384399156711176
2010-08-10,1.0339663102757123e-06,0.17476671850699854,0.1441351888667981,0.036059334439348056,0.6202290076335872,0.6044444444444448,0.7275402118477836,0.6428320449754041
2010-08-11,1.0339663102757123e-06,0.19576205287713866,0.16799204771372445,0.020640187371913754,0.6297709923664119,0.560888888888889,0.7102785406041585,0.645028109627547
2010-08-12,1.0339663102757123e-06,0.1914852255054431,0.1848906560636152,0.017761295989069947,0.6526717557251906,0.5535555555555556,0.6877206747744213,0.6536366830639491
2010-08-13,5.169831551378562e-07,0.18506998444790068,0.22862823061630877,0.015614326144237411,0.6488549618320603,0.5315555555555553,0.6890937622597102,0.663650737877723
2010-08-14,1.0339663102757123e-06,0.19070762052877144,0.22862823061630877,0.015711915682638855,0.6526717557251906,0.5473333333333334,0.7085131424087883,0.6707659873506673
2010-08-15,1.0339663102757123e-06,0.19070762052877144,0.22862823061630877,0.015711915682638855,0.6526717557251906,0.5473333333333334,0.7085131424087883,0.6707659873506673
2010-08-16,1.0339663102757123e-06,0.19070762052877144,0.22862823061630877,0.015711915682638855,0.6526717557251906,0.5473333333333334,0.7085131424087883,0.6707659873506673
2010-08-17,1.0339663102757123e-06,0.1677682737169517,0.20477137176938243,0.022104030447935963,0.6412213740458013,0.5588888888888888,0.690270694389957,0.6604005621925504
2010-08-18,1.0339663102757123e-06,0.1629082426127526,0.19681908548707838,0.022933541524348677,0.6393129770992365,0.5548888888888888,0.6967438211063164,0.6596099789177794
2010-08-19,1.0339663102757123e-06,0.1844867807153967,0.20278330019881707,0.01385771445301065,0.6469465648854955,0.5471111111111111,0.695370733621028,0.6583801827125786
2010-08-20,1.0339663102757123e-06,0.20431570762052886,0.2644135188866841,0.011954718454181723,0.6526717557251906,0.5137777777777774,0.6763436641820326,0.6586437104708356
